timestamp,ak0991x_magnetometer.x,ak0991x_magnetometer.y,ak0991x_magnetometer.z,icm4x6xx_accelerometer.x,icm4x6xx_accelerometer.y,icm4x6xx_accelerometer.z,icm4x6xx_gyroscope.x,icm4x6xx_gyroscope.y,icm4x6xx_gyroscope.z,GPS.lat,GPS.long,GPS.alt
1644564907396,14.1,-12.562501,9.675,-9.951499,0.13467385,-0.10235212,0.018108962,-0.0037283157,-0.006524552,0.0,0.0,0.0
1644564907503,13.89375,-12.76875,9.13125,-9.88925,0.077213004,-0.18854338,-0.014913263,0.0026630824,-1.3315413E-4,0.0,0.0,0.0
1644564907601,13.9125,-13.668751,9.5625,-9.850943,-0.047285482,0.002992752,-0.0074566314,0.012250179,0.006258244,0.0,0.0,0.0
1644564907704,14.475,-13.481251,8.175,-9.827001,-0.14784196,0.10354923,-0.003195699,0.0069240145,-0.0011983871,0.0,0.0,0.0
1644564907804,13.8,-12.225,7.8375,-9.822212,-0.15801731,0.03172317,0.004260932,0.0069240145,-1.3315413E-4,0.0,0.0,0.0
1644564907910,14.19375,-13.575001,10.087501,-9.812635,-0.08080431,-0.05925649,0.005326165,5.326165E-4,-0.0033288533,0.0,0.0,0.0
1644564908014,14.00625,-13.25625,10.5375,-9.822212,-0.032920275,-0.13587095,0.002130466,0.0047935485,-0.0011983871,0.0,0.0,0.0
1644564908119,13.9875,-13.2375,10.3125,-9.812635,-0.076015905,-0.05925649,-0.002130466,0.0047935485,9.320789E-4,0.0,0.0,0.0
1644564908221,14.025001,-12.637501,7.4812503,-9.817424,-0.095169514,-0.030526072,-0.0,0.0026630824,-0.0011983871,0.0,0.0,0.0
1644564908324,14.043751,-12.843751,7.55625,-9.788693,-0.090381116,-0.030526072,0.004260932,0.0015978495,-0.0011983871,0.0,0.0,0.0
1644564908427,13.51875,-13.312501,9.9375,-9.774328,-0.076015905,-0.035314474,0.001065233,0.0015978495,-1.3315413E-4,0.0,0.0,0.0
1644564908529,14.231251,-12.543751,7.4437504,-9.783905,-0.0664391,-0.05925649,0.001065233,0.0037283157,-1.3315413E-4,0.0,0.0,0.0
1644564908632,14.606251,-13.5375,8.212501,-9.793482,-0.08080431,-0.078410104,-0.0,0.0037283157,-1.3315413E-4,0.0,0.0,0.0
1644564908736,14.400001,-13.650001,10.387501,-9.812635,-0.109534726,-0.06404489,-0.0,0.0015978495,-1.3315413E-4,0.0,0.0,0.0
1644564908836,14.118751,-14.587501,10.931251,-9.76954,-0.090381116,-0.035314474,0.001065233,0.0015978495,-1.3315413E-4,0.0,0.0,0.0
1644564908941,14.400001,-13.762501,10.44375,-9.779117,-0.076015905,-0.044891283,0.001065233,0.0026630824,-0.0011983871,0.0,0.0,0.0
1644564909045,14.512501,-13.781251,10.087501,-9.745598,-0.13347675,-0.049679685,0.0117175635,-0.009054481,-0.0011983871,0.0,0.0,0.0
1644564909149,14.175,-12.543751,7.36875,-9.740809,-0.018555064,-0.16938977,0.003195699,0.0058587817,0.005193011,0.0,0.0,0.0
1644564909251,13.387501,-12.01875,9.225,-9.659407,-0.0664391,-0.2172738,-0.005326165,-0.0047935485,0.005193011,0.0,0.0,0.0
1644564909351,13.837501,-12.20625,8.2875,-9.415198,-0.008978256,0.36750996,-0.008521864,0.035685305,-0.019307349,0.0,0.0,0.0
1644564909453,13.35,-10.9875,9.375,-9.692925,0.0053869537,-0.207697,-0.017043728,-0.014380646,9.320789E-4,0.0,0.0,0.0
1644564909555,13.725,-11.137501,6.8437505,-9.817424,-0.095169514,-0.035314474,-0.012782796,0.0047935485,0.009453943,0.0,0.0,0.0
1644564909659,12.656251,-11.55,9.243751,-9.836577,-0.21547815,0.13227965,-0.005326165,-0.0026630824,9.320789E-4,0.0,0.0,0.0
1644564909760,12.731251,-11.19375,9.525001,-9.807847,-0.13347675,0.03172317,0.0074566314,-0.0058587817,-1.3315413E-4,0.0,0.0,0.0
1644564909862,13.125001,-10.556251,7.6312504,-9.827001,-0.047285482,-0.040102877,0.005326165,-0.0069240145,-0.0022636203,0.0,0.0,0.0
1644564909969,13.500001,-11.493751,9.993751,-9.76954,-0.018555064,-0.107140526,-0.001065233,-0.0026630824,9.320789E-4,0.0,0.0,0.0
1644564910073,13.012501,-12.375001,9.337501,-9.793482,-0.0712275,-0.030526072,-0.005326165,-0.0015978495,0.0030625449,0.0,0.0,0.0
1644564910174,13.5375,-12.225,9.900001,-9.779117,-0.061650693,-0.13587095,0.003195699,0.0015978495,-0.0011983871,0.0,0.0,0.0
1644564910283,12.39375,-10.762501,7.8187504,-9.750386,-0.0664391,-0.040102877,-3.9946238E-4,-6.657706E-4,-0.0013315412,0.0,0.0,0.0
1644564910384,13.425,-12.731251,9.525001,-9.807847,-0.061650693,-0.107140526,0.0017310036,-0.0027962367,7.9892477E-4,0.0,0.0,0.0
1644564910486,13.650001,-12.150001,9.46875,-9.788693,-0.08080431,-0.049679685,-3.9946238E-4,-0.0017310036,-2.6630826E-4,0.0,0.0,0.0
1644564910587,13.8,-13.031251,9.95625,-9.807847,-0.08559271,-0.092775315,-0.0014646954,-0.0018641578,9.320789E-4,0.0,0.0,0.0
1644564910693,12.918751,-13.387501,9.712501,-9.788693,-0.08559271,-0.049679685,6.657706E-4,-0.0017310036,7.9892477E-4,0.0,0.0,0.0
1644564910794,14.1,-13.425,9.337501,-9.783905,-0.2825158,0.19991584,0.05712312,-0.04873441,0.01997312,0.0,0.0,0.0
1644564910897,13.500001,-12.281251,9.056251,-9.487024,-0.45489833,0.15143326,0.0059919357,-0.011451255,-0.0055924733,0.0,0.0,0.0
1644564911002,13.406251,-11.85,8.71875,-9.534908,0.091578215,-0.5093664,0.008122402,-0.0029293909,0.0018641578,0.0,0.0,0.0
1644564911103,13.275001,-12.4125,9.637501,-9.860519,0.08678981,-0.26036942,-0.014247492,0.0013315412,7.9892477E-4,0.0,0.0,0.0
1644564911211,13.968751,-12.76875,9.056251,-9.707291,-0.22505496,0.026934769,-0.011051793,0.0034620073,-0.0045272405,0.0,0.0,0.0
1644564911321,14.325001,-13.575001,10.59375,-9.702502,-0.09995792,-0.08798691,0.007057169,-0.005059857,-0.0077229394,0.0,0.0,0.0
1644564911418,14.025001,-12.918751,10.35,-9.803059,-0.032920275,-0.08798691,0.0059919357,-0.0029293909,-0.0034620073,0.0,0.0,0.0
1644564911518,13.725,-13.25625,10.63125,-9.736021,-0.023343466,-0.17417817,0.0017310036,-0.0029293909,0.0018641578,0.0,0.0,0.0
1644564911627,14.043751,-12.618751,10.293751,-9.731233,-0.095169514,-0.049679685,-0.0035951615,0.0034620073,0.0018641578,0.0,0.0,0.0
1644564911723,14.437501,-13.012501,10.21875,-9.750386,-0.11911154,-0.044891283,-0.0025299285,2.6630826E-4,0.0018641578,0.0,0.0,0.0
1644564911825,14.2875,-13.6125,9.806251,-10.397419,-0.51235914,0.94211835,0.03155753,-0.035951614,0.025299285,0.0,0.0,0.0
1644564911930,14.156251,-13.312501,10.35,-9.965864,0.19692309,-0.20290859,0.016644266,-0.057256274,-0.026897134,0.0,0.0,0.0
1644564912031,13.481251,-12.50625,10.650001,-9.903615,0.350152,-0.53809685,0.008122402,-0.022103585,0.01677742,0.0,0.0,0.0
1644564912132,12.806251,-13.05,10.5,-10.013748,0.25917232,-0.28431144,-0.022769356,-0.005059857,-0.0023967742,0.0,0.0,0.0
1644564912241,14.137501,-13.293751,11.043751,-9.817424,-0.17238252,0.15622166,-0.018508423,-0.005059857,0.008255556,0.0,0.0,0.0
1644564912345,13.781251,-12.58125,10.575001,-9.898827,-0.13826515,0.11791443,0.008122402,-0.018907886,0.0061250897,0.0,0.0,0.0
1644564912449,13.9125,-11.887501,10.59375,-9.884461,5.985504E-4,-0.08319851,0.007057169,-0.01677742,-0.0045272405,0.0,0.0,0.0
1644564912555,14.306251,-13.387501,11.53125,-9.855731,0.05327099,-0.17417817,-3.9946238E-4,-0.008255556,0.0039946237,0.0,0.0,0.0
1644564912649,13.33125,-12.337501,9.31875,-9.884461,0.02932897,-0.11192893,-0.0035951615,-7.9892477E-4,-2.6630826E-4,0.0,0.0,0.0
1644564912757,14.156251,-13.725,11.56875,-9.841366,-0.09995792,0.002992752,-0.0035951615,-0.005059857,-2.6630826E-4,0.0,0.0,0.0
1644564912860,13.593751,-11.981251,8.587501,-9.879673,-0.09995792,-0.01616086,7.9892477E-4,-0.004926703,0.0019973118,0.0,0.0,0.0
1644564912961,13.725,-12.562501,10.70625,-9.846154,-0.05207389,-0.040102877,7.9892477E-4,-0.0038614697,-1.3315413E-4,0.0,0.0,0.0
1644564913063,15.13125,-13.481251,10.89375,-9.841366,-0.047285482,-0.09756372,7.9892477E-4,-6.657706E-4,-0.0013315412,0.0,0.0,0.0
1644564913170,13.875001,-14.231251,11.700001,-9.836577,-0.037708677,-0.08319851,-0.0014646954,-6.657706E-4,-2.6630826E-4,0.0,0.0,0.0
1644564913272,13.931251,-12.843751,10.650001,-9.836577,-0.08080431,-0.08319851,-0.0025299285,-5.326165E-4,-0.0013315412,0.0,0.0,0.0
1644564913382,14.306251,-13.218751,10.59375,-9.788693,-0.0712275,-0.05925649,6.657706E-4,-0.0015978495,0.0018641578,0.0,0.0,0.0
1644564913490,14.3625,-13.556251,11.4375,-9.79827,-0.08080431,-0.11671733,6.657706E-4,-0.0026630824,0.0018641578,0.0,0.0,0.0
1644564913591,14.2875,-13.14375,11.19375,-9.79827,-0.0712275,-0.049679685,-3.9946238E-4,-0.0015978495,0.0029293909,0.0,0.0,0.0
1644564913713,14.175,-14.08125,11.231251,-9.76954,-0.09995792,-0.09756372,0.0027962367,5.326165E-4,-0.0013315412,0.0,0.0,0.0
1644564913804,14.025001,-14.062501,11.962501,-9.793482,-0.08559271,-0.09756372,6.657706E-4,-5.326165E-4,9.320789E-4,0.0,0.0,0.0
1644564913904,14.175,-12.4875,10.2375,-9.803059,-0.0712275,-0.09756372,6.657706E-4,-0.0026630824,7.9892477E-4,0.0,0.0,0.0
1644564914014,13.63125,-12.637501,11.175,-9.76954,-0.090381116,-0.08319851,-0.0014646954,3.9946238E-4,0.0018641578,0.0,0.0,0.0
1644564914116,13.181251,-12.543751,11.00625,-9.783905,-0.09995792,-0.078410104,-3.9946238E-4,-6.657706E-4,7.9892477E-4,0.0,0.0,0.0
1644564914216,13.6125,-12.843751,10.44375,-9.803059,-0.08080431,-0.092775315,-3.9946238E-4,-6.657706E-4,7.9892477E-4,0.0,0.0,0.0
1644564914318,12.825001,-12.712501,10.8,-9.783905,-0.076015905,-0.06404489,-3.9946238E-4,-6.657706E-4,7.9892477E-4,0.0,0.0,0.0
1644564914423,13.575001,-12.58125,10.9875,-9.774328,-0.095169514,-0.08319851,-3.9946238E-4,-6.657706E-4,-2.6630826E-4,0.0,0.0,0.0
1644564914527,13.668751,-12.431251,10.275001,-9.76954,-0.0664391,-0.08798691,6.657706E-4,3.9946238E-4,7.9892477E-4,0.0,0.0,0.0
1644564914629,13.575001,-12.50625,10.125,-9.788693,-0.076015905,-0.06404489,-3.9946238E-4,-0.0027962367,-2.6630826E-4,0.0,0.0,0.0
1644564914731,13.368751,-13.368751,12.056251,-9.76954,-0.09995792,-0.06404489,0.0017310036,-6.657706E-4,7.9892477E-4,0.0,0.0,0.0
1644564914838,14.2875,-13.8,11.325001,-9.783905,-0.08559271,-0.078410104,-0.0014646954,-6.657706E-4,-1.3315413E-4,0.0,0.0,0.0
1644564914951,13.668751,-13.481251,11.175,-9.774328,-0.08559271,-0.092775315,-3.9946238E-4,-6.657706E-4,9.320789E-4,0.0,0.0,0.0
1644564915045,13.406251,-12.712501,11.043751,-9.783905,-0.090381116,-0.08798691,-3.9946238E-4,0.0014646954,-0.0011983871,0.0,0.0,0.0
1644564915150,14.56875,-14.118751,11.775001,-9.793482,-0.061650693,-0.06404489,-3.9946238E-4,-6.657706E-4,9.320789E-4,0.0,0.0,0.0
1644564915252,13.89375,-13.200001,11.19375,-9.764751,-0.095169514,-0.0688333,-3.9946238E-4,-6.657706E-4,0.0019973118,0.0,0.0,0.0
1644564915357,14.83125,-13.837501,10.387501,-9.788693,-0.061650693,-0.08319851,6.657706E-4,0.0014646954,-1.3315413E-4,0.0,0.0,0.0
1644564915458,13.8,-13.875001,10.81875,-9.793482,-0.10474633,-0.08319851,0.0017310036,3.9946238E-4,7.9892477E-4,0.0,0.0,0.0
1644564915560,13.762501,-13.387501,11.00625,-9.788693,-0.09995792,-0.05925649,-0.0014646954,3.9946238E-4,0.0029293909,0.0,0.0,0.0
1644564915660,13.875001,-13.51875,10.293751,-9.783905,-0.0664391,-0.08798691,6.657706E-4,5.326165E-4,-0.0013315412,0.0,0.0,0.0
1644564915766,14.043751,-13.81875,11.400001,-9.779117,-0.08080431,-0.073621705,-0.0014646954,-0.0015978495,7.9892477E-4,0.0,0.0,0.0
1644564915866,13.856251,-12.95625,10.81875,-9.783905,-0.09995792,-0.08319851,-3.9946238E-4,-0.0015978495,-0.0013315412,0.0,0.0,0.0
1644564915968,13.8,-12.712501,10.40625,-9.779117,-0.0664391,-0.06404489,-0.0014646954,5.326165E-4,-2.6630826E-4,0.0,0.0,0.0
1644564916076,13.762501,-13.81875,10.743751,-9.779117,-0.08080431,-0.06404489,-3.9946238E-4,0.0015978495,7.9892477E-4,0.0,0.0,0.0
1644564916188,13.481251,-13.481251,10.51875,-9.779117,-0.08080431,-0.092775315,6.657706E-4,-6.657706E-4,-0.0013315412,0.0,0.0,0.0
1644564916288,14.025001,-13.8,11.45625,-9.783905,-0.08559271,-0.08319851,-5.326165E-4,3.9946238E-4,-2.6630826E-4,0.0,0.0,0.0
1644564916389,12.937501,-13.44375,10.950001,-9.793482,-0.095169514,-0.073621705,5.326165E-4,-6.657706E-4,-2.6630826E-4,0.0,0.0,0.0
1644564916490,13.837501,-13.14375,10.51875,-9.774328,-0.09995792,-0.08798691,-5.326165E-4,5.326165E-4,-2.6630826E-4,0.0,0.0,0.0
1644564916591,13.856251,-13.200001,11.981251,-9.793482,-0.076015905,-0.09756372,-5.326165E-4,-5.326165E-4,7.9892477E-4,0.0,0.0,0.0
1644564916691,13.837501,-13.650001,10.63125,-9.774328,-0.095169514,-0.0688333,5.326165E-4,0.0015978495,-1.3315413E-4,0.0,0.0,0.0
1644564916801,13.781251,-12.243751,9.900001,-9.783905,-0.076015905,-0.05925649,-5.326165E-4,-0.0015978495,7.9892477E-4,0.0,0.0,0.0
1644564916906,14.08125,-13.481251,10.575001,-9.779117,-0.0712275,-0.06404489,5.326165E-4,-3.9946238E-4,7.9892477E-4,0.0,0.0,0.0
1644564917017,13.81875,-13.293751,11.325001,-9.788693,-0.095169514,-0.078410104,-5.326165E-4,5.326165E-4,7.9892477E-4,0.0,0.0,0.0
1644564917115,14.08125,-13.35,10.725,-9.79827,-0.08559271,-0.09756372,-0.0015978495,-5.326165E-4,-2.6630826E-4,0.0,0.0,0.0
1644564917215,14.212501,-12.918751,11.118751,-9.764751,-0.08080431,-0.092775315,-5.326165E-4,0.0015978495,7.9892477E-4,0.0,0.0,0.0
1644564917314,14.175,-13.125001,10.875,-9.783905,-0.08080431,-0.08319851,-3.9946238E-4,0.0015978495,-2.6630826E-4,0.0,0.0,0.0
1644564917415,14.343751,-13.5375,11.2875,-9.774328,-0.076015905,-0.078410104,6.657706E-4,0.0015978495,-1.3315413E-4,0.0,0.0,0.0
1644564917516,14.025001,-13.05,10.856251,-9.774328,-0.0664391,-0.078410104,-2.6630826E-4,-0.0015978495,-2.6630826E-4,0.0,0.0,0.0
1644564917620,13.9125,-13.125001,11.043751,-9.793482,-0.08559271,-0.078410104,-0.0014646954,0.0015978495,-3.9946238E-4,0.0,0.0,0.0
1644564917728,13.293751,-11.887501,10.931251,-9.788693,-0.090381116,-0.09756372,6.657706E-4,-3.9946238E-4,-3.9946238E-4,0.0,0.0,0.0
1644564917817,13.8,-13.425,11.137501,-9.788693,-0.08559271,-0.073621705,-3.9946238E-4,-3.9946238E-4,-3.9946238E-4,0.0,0.0,0.0
1644564917927,13.35,-13.89375,11.418751,-9.79827,-0.090381116,-0.08798691,-3.9946238E-4,-3.9946238E-4,6.657706E-4,0.0,0.0,0.0
